Exhaustive search results ordered by SIMULATION ERROR (simulation_time - actual_exec) / actual_exec)

sim_err(%)      sum_of_diff(%)         map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
   1.18            1.26                  0.95% , 0.99          826.88 , 821.00          332.64 , 342.00            1206.63 , 1221.00       15.24
   1.19            1.57                  0.93% , 1.04          809.47 , 821.00          349.44 , 342.00            1206.43 , 1221.00       18.97
    1.2            2.46                  0.94% , 1.10          818.18 , 821.00          369.60 , 342.00            1235.59 , 1221.00       30.42
   1.21            4.41                  0.91% , 1.09          792.06 , 821.00          366.24 , 342.00            1206.23 , 1221.00       53.18
   1.21            2.05                  0.96% , 1.05          835.58 , 821.00          352.80 , 342.00            1235.79 , 1221.00       25.38
   1.22             8.8                  0.88% , 1.17          765.95 , 821.00          393.12 , 342.00            1206.11 , 1221.00      106.17
   1.23            3.07                  0.98% , 1.00          852.99 , 821.00          336.00 , 342.00            1235.99 , 1221.00       37.99
   1.24           10.05                  1.01% , 0.83          879.10 , 821.00          278.88 , 342.00            1205.87 , 1221.00      121.22
   1.24            7.36                  1.01% , 0.92          879.10 , 821.00          309.12 , 342.00            1236.11 , 1221.00       90.98
   1.25            5.66                  0.98% , 0.91          852.99 , 821.00          305.76 , 342.00            1205.75 , 1221.00       68.23
   1.25           10.13                  1.03% , 0.87          896.51 , 821.00          292.32 , 342.00            1236.31 , 1221.00      125.19
   1.27            6.75                  0.91% , 1.18          792.06 , 821.00          396.48 , 342.00            1236.47 , 1221.00       83.42
   1.27            2.82                  0.96% , 0.96          835.58 , 821.00          322.56 , 342.00            1205.55 , 1221.00       34.02
   1.27           12.89                  1.05% , 0.82          913.92 , 821.00          275.52 , 342.00            1236.51 , 1221.00       159.4
   1.28            3.98                  0.93% , 1.13          809.47 , 821.00          379.68 , 342.00            1236.67 , 1221.00       49.21
   1.28            0.45                  0.94% , 1.01          818.18 , 821.00          339.36 , 342.00            1205.35 , 1221.00        5.46
    1.3            2.16                  0.95% , 1.08          826.88 , 821.00          362.88 , 342.00            1236.87 , 1221.00       26.76
   1.31            7.25                  0.89% , 1.14          774.66 , 821.00          383.04 , 342.00            1205.03 , 1221.00       87.38
   1.32           10.09                  0.87% , 1.19          757.25 , 821.00          399.84 , 342.00            1204.83 , 1221.00      121.59
   1.33            5.84                  1.00% , 0.95          870.40 , 821.00          319.20 , 342.00            1237.19 , 1221.00        72.2
   1.34            7.22                  0.99% , 0.88          861.70 , 821.00          295.68 , 342.00            1204.67 , 1221.00       87.02
   1.34             8.6                  1.02% , 0.90          887.81 , 821.00          302.40 , 342.00            1237.39 , 1221.00      106.41
   1.35            4.38                  0.97% , 0.93          844.29 , 821.00          312.48 , 342.00            1204.47 , 1221.00       52.81
   1.37            5.49                  0.92% , 1.16          800.77 , 821.00          389.76 , 342.00            1237.75 , 1221.00       67.99
   1.38            2.86                  0.92% , 1.06          800.77 , 821.00          356.16 , 342.00            1204.15 , 1221.00       34.39
    1.4             5.7                  0.90% , 1.11          783.36 , 821.00          372.96 , 342.00            1203.95 , 1221.00        68.6
    1.4            2.21                  0.97% , 1.03          844.29 , 821.00          346.08 , 342.00            1238.07 , 1221.00       27.37
   1.41            4.31                  0.99% , 0.98          861.70 , 821.00          329.28 , 342.00            1238.27 , 1221.00       53.42
   1.41           11.63                  1.02% , 0.80          887.81 , 821.00          268.80 , 342.00            1203.79 , 1221.00      140.01
   1.43            8.79                  1.00% , 0.85          870.40 , 821.00          285.60 , 342.00            1203.59 , 1221.00       105.8
   1.44           11.35                  1.04% , 0.85          905.22 , 821.00          285.60 , 342.00            1238.59 , 1221.00      140.62
   1.45            1.55                  0.95% , 0.98          826.88 , 821.00          329.28 , 342.00            1203.27 , 1221.00        18.6
   1.46           14.11                  1.06% , 0.80          922.62 , 821.00          268.80 , 342.00            1238.79 , 1221.00      174.82
   1.47             1.3                  0.93% , 1.03          809.47 , 821.00          346.08 , 342.00            1203.07 , 1221.00       15.61
   1.47            2.73                  0.94% , 1.11          818.18 , 821.00          372.96 , 342.00            1238.95 , 1221.00       33.78
   1.48            4.14                  0.91% , 1.08          792.06 , 821.00          362.88 , 342.00            1202.87 , 1221.00       49.82
   1.49            8.55                  0.88% , 1.16          765.95 , 821.00          389.76 , 342.00            1202.75 , 1221.00      102.81
   1.49            2.32                  0.96% , 1.06          835.58 , 821.00          356.16 , 342.00            1239.15 , 1221.00       28.74
    1.5            2.79                  0.98% , 1.01          852.99 , 821.00          339.36 , 342.00            1239.35 , 1221.00       34.63
   1.51           10.36                  1.01% , 0.82          879.10 , 821.00          275.52 , 342.00            1202.51 , 1221.00      124.58
   1.51            7.07                  1.01% , 0.93          879.10 , 821.00          312.48 , 342.00            1239.47 , 1221.00       87.62
   1.52            5.95                  0.98% , 0.90          852.99 , 821.00          302.40 , 342.00            1202.39 , 1221.00       71.59
   1.53            9.83                  1.03% , 0.88          896.51 , 821.00          295.68 , 342.00            1239.67 , 1221.00      121.83
   1.54             7.0                  0.91% , 1.19          792.06 , 821.00          399.84 , 342.00            1239.83 , 1221.00       86.78
   1.54            3.11                  0.96% , 0.95          835.58 , 821.00          319.20 , 342.00            1202.19 , 1221.00       37.38
   1.55           12.59                  1.05% , 0.83          913.92 , 821.00          278.88 , 342.00            1239.87 , 1221.00      156.04
