Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    3.15              4.63          0.95% , 1.19          826.88 , 809.00           199.92 , 184.00            1073.89 , 1126.00       33.8
    3.16              7.65          0.91% , 1.19          792.06 , 809.00           199.92 , 184.00            1039.89 , 1126.00      32.86
    3.17              4.57          0.96% , 1.14          835.58 , 809.00           191.52 , 184.00            1074.49 , 1126.00       34.1
    3.23              5.92          0.96% , 1.05          835.58 , 809.00           176.40 , 184.00            1059.37 , 1126.00      34.18
    3.24              9.19          0.90% , 1.14          783.36 , 809.00           191.52 , 184.00            1022.49 , 1126.00      33.16
    3.24             10.52          0.92% , 0.95          800.77 , 809.00           159.60 , 184.00            1007.57 , 1126.00      32.63
    3.25              7.46          0.95% , 1.00          826.88 , 809.00           168.00 , 184.00            1041.97 , 1126.00      33.88
    3.27             10.48          0.91% , 1.00          792.06 , 809.00           168.00 , 184.00            1007.97 , 1126.00      32.94
    3.27              8.92          0.94% , 0.95          818.18 , 809.00           159.60 , 184.00            1025.57 , 1126.00      33.58
     3.3             10.54          0.90% , 1.05          783.36 , 809.00           176.40 , 184.00            1007.37 , 1126.00      33.24
     3.3             10.46          0.93% , 0.90          809.47 , 809.00           151.20 , 184.00            1008.17 , 1126.00      33.27
    3.33              4.43          0.96% , 1.15          835.58 , 809.00           193.20 , 184.00            1076.17 , 1126.00      35.78
    3.35              4.37          0.97% , 1.10          844.29 , 809.00           184.80 , 184.00            1076.77 , 1126.00      36.09
    3.36              4.52          0.97% , 1.09          844.29 , 809.00           183.12 , 184.00            1075.09 , 1126.00      36.17
    3.39              6.07          0.96% , 1.04          835.58 , 809.00           174.72 , 184.00            1057.69 , 1126.00      35.86
     3.4              9.04          0.90% , 1.15          783.36 , 809.00           193.20 , 184.00            1024.17 , 1126.00      34.84
    3.41             10.67          0.92% , 0.94          800.77 , 809.00           157.92 , 184.00            1005.89 , 1126.00      34.31
    3.42              7.61          0.95% , 0.99          826.88 , 809.00           166.32 , 184.00            1040.29 , 1126.00      35.56
    3.44             10.63          0.91% , 0.99          792.06 , 809.00           166.32 , 184.00            1006.29 , 1126.00      34.62
    3.44              9.07          0.94% , 0.94          818.18 , 809.00           157.92 , 184.00            1023.89 , 1126.00      35.26
    3.47             10.68          0.90% , 1.04          783.36 , 809.00           174.72 , 184.00            1005.69 , 1126.00      34.92
    3.47             10.61          0.93% , 0.89          809.47 , 809.00           149.52 , 184.00            1006.49 , 1126.00      34.95
    3.48              4.28          0.96% , 1.16          835.58 , 809.00           194.88 , 184.00            1077.85 , 1126.00      37.46
    3.49             10.59          0.89% , 1.10          774.66 , 809.00           184.80 , 184.00            1006.77 , 1126.00      35.14
     3.5             10.74          0.89% , 1.09          774.66 , 809.00           183.12 , 184.00            1005.09 , 1126.00      35.22
     3.5              4.22          0.97% , 1.11          844.29 , 809.00           186.48 , 184.00            1078.45 , 1126.00      37.77
    3.53              4.67          0.97% , 1.08          844.29 , 809.00           181.44 , 184.00            1073.41 , 1126.00      37.85
    3.56              8.89          0.90% , 1.16          783.36 , 809.00           194.88 , 184.00            1025.85 , 1126.00      36.52
    3.56              6.22          0.96% , 1.03          835.58 , 809.00           173.04 , 184.00            1056.01 , 1126.00      37.54
    3.58             10.82          0.92% , 0.93          800.77 , 809.00           156.24 , 184.00            1004.21 , 1126.00      35.99
    3.59              7.76          0.95% , 0.98          826.88 , 809.00           164.64 , 184.00            1038.61 , 1126.00      37.24
    3.61             10.78          0.91% , 0.98          792.06 , 809.00           164.64 , 184.00            1004.61 , 1126.00       36.3
    3.61              9.22          0.94% , 0.93          818.18 , 809.00           156.24 , 184.00            1022.21 , 1126.00      36.94
